,base_market,quote_market,hedge_ratio,half_life
0,AAVE-USD,ENJ-USD,218.2619792697742,8.0
1,AAVE-USD,CRV-USD,98.62135913065688,19.0
2,AAVE-USD,CELO-USD,112.93389138979067,23.0
3,AAVE-USD,XTZ-USD,73.79590431658916,13.0
4,AAVE-USD,ZRX-USD,357.53302312417827,12.0
5,ALGO-USD,FIL-USD,0.05582819306291914,14.0
6,ETH-USD,EOS-USD,1408.9095889422354,17.0
7,ETH-USD,ZRX-USD,7846.706688408224,8.0
8,ETH-USD,XMR-USD,8.265355077791362,19.0
9,ETH-USD,MATIC-USD,1565.2255100612388,5.0
10,ETH-USD,BCH-USD,12.277342013840187,10.0
11,ETH-USD,XLM-USD,16877.328694387346,19.0
12,ETH-USD,RUNE-USD,921.1652476087257,13.0
13,UMA-USD,1INCH-USD,3.9035059106380445,7.0
14,UMA-USD,CELO-USD,3.073428424597191,12.0
15,UMA-USD,ATOM-USD,0.15135999128551617,22.0
16,UMA-USD,LINK-USD,0.2705011204422402,6.0
17,UMA-USD,DOGE-USD,21.53662657478015,6.0
18,UMA-USD,EOS-USD,1.7470926764686325,6.0
19,UMA-USD,ZRX-USD,9.726601076846492,19.0
20,UMA-USD,MATIC-USD,1.9404908643675451,10.0
21,UMA-USD,BCH-USD,0.015219393037087586,15.0
22,UMA-USD,XLM-USD,20.928969040159334,7.0
23,1INCH-USD,CELO-USD,0.7873523078350694,13.0
24,1INCH-USD,LINK-USD,0.06928816929491298,7.0
25,1INCH-USD,DOGE-USD,5.5167954837576305,4.0
26,1INCH-USD,EOS-USD,0.44748172729250724,10.0
27,1INCH-USD,ZRX-USD,2.491910379064695,15.0
28,1INCH-USD,BCH-USD,0.0038992001775393064,12.0
29,1INCH-USD,XLM-USD,5.360739954114993,10.0
30,ADA-USD,SNX-USD,0.1727778672107726,10.0
31,ADA-USD,FIL-USD,0.08330938536994767,14.0
32,ENJ-USD,CRV-USD,0.4518294488636773,19.0
33,ENJ-USD,XTZ-USD,0.33800428866509863,21.0
34,SNX-USD,SUSHI-USD,1.5922803351712986,8.0
35,SNX-USD,ZRX-USD,10.047385657263124,11.0
36,SNX-USD,LTC-USD,0.021427160623025496,18.0
37,SUSHI-USD,FIL-USD,0.302488663843778,12.0
38,FIL-USD,XTZ-USD,4.302143747654875,13.0
39,CELO-USD,ATOM-USD,0.0492569738252215,9.0
40,CELO-USD,XTZ-USD,0.6531440820161544,11.0
41,CELO-USD,LINK-USD,0.08794993871416534,22.0
42,CELO-USD,DOT-USD,0.10939228399570386,7.0
43,CELO-USD,DOGE-USD,7.002937285637618,15.0
44,CELO-USD,ZRX-USD,3.1644399514048858,8.0
45,CELO-USD,UNI-USD,0.09322411288986625,8.0
46,CELO-USD,XMR-USD,0.0033319866990760613,21.0
47,CELO-USD,MATIC-USD,0.6311529415838957,8.0
48,CELO-USD,BCH-USD,0.004950543007767774,11.0
49,XTZ-USD,ZRX-USD,4.844513019793032,6.0
50,XTZ-USD,RUNE-USD,0.5686602590818883,12.0
51,LINK-USD,DOGE-USD,79.61621651830359,5.0
52,LINK-USD,EOS-USD,6.4582740657052,7.0
53,LINK-USD,MATIC-USD,7.173534288947343,19.0
54,LINK-USD,XLM-USD,77.36623058902478,7.0
55,YFI-USD,DOT-USD,1181.3645416236377,5.0
56,YFI-USD,ZRX-USD,34173.67640656367,4.0
57,YFI-USD,UNI-USD,1006.555412648204,14.0
58,YFI-USD,RUNE-USD,4011.498190984653,5.0
59,DOT-USD,DOGE-USD,64.00215018603954,19.0
60,DOT-USD,ZRX-USD,28.92334511447686,5.0
61,DOT-USD,UNI-USD,0.8520136432877881,18.0
62,DOGE-USD,EOS-USD,0.0811110298966339,4.0
63,DOGE-USD,ZRX-USD,0.45162886911677314,15.0
64,DOGE-USD,UNI-USD,0.013307395443361987,7.0
65,DOGE-USD,MATIC-USD,0.09009758103844123,9.0
66,DOGE-USD,BCH-USD,0.0007066577843623522,13.0
67,DOGE-USD,RUNE-USD,0.053018110445360575,16.0
68,EOS-USD,UNI-USD,0.16403895726449264,12.0
69,EOS-USD,MATIC-USD,1.1105856156544693,16.0
70,EOS-USD,XLM-USD,11.978007193205633,10.0
71,ZRX-USD,MATIC-USD,0.19941544732340694,6.0
72,ZRX-USD,BCH-USD,0.0015642186103442565,9.0
73,ZRX-USD,RUNE-USD,0.11737327780796775,4.0
74,UNI-USD,BCH-USD,0.05309625073928758,12.0
75,XMR-USD,MATIC-USD,189.30120314102552,20.0
76,MATIC-USD,XLM-USD,10.781650234483978,20.0
77,MATIC-USD,RUNE-USD,0.5884880278884694,8.0
78,BCH-USD,RUNE-USD,75.00915466274613,8.0
