,base_market,quote_market,hedge_ratio,half_life
0,AAVE-USD,CELO-USD,113.00620699829518,22.0
1,AAVE-USD,XTZ-USD,73.8188482269826,13.0
2,AAVE-USD,YFI-USD,0.010465006966393332,17.0
3,AAVE-USD,ZRX-USD,357.7974990049891,11.0
4,AAVE-USD,RUNE-USD,42.01202724085253,21.0
5,ZEC-USD,SUSHI-USD,39.82094678590646,17.0
6,ALGO-USD,SUSHI-USD,0.18459496519879381,11.0
7,ALGO-USD,FIL-USD,0.05577879948164241,17.0
8,ALGO-USD,LTC-USD,0.002484902392702156,8.0
9,ETH-USD,DOT-USD,270.87418267861364,11.0
10,ETH-USD,DOGE-USD,17383.46952461457,6.0
11,ETH-USD,EOS-USD,1410.12472256467,23.0
12,ETH-USD,ZRX-USD,7841.740352472088,8.0
13,ETH-USD,MATIC-USD,1565.4121022560682,4.0
14,ETH-USD,BCH-USD,12.278844914138855,10.0
15,ETH-USD,RUNE-USD,920.920858611645,12.0
16,UMA-USD,1INCH-USD,3.901857453194273,7.0
17,UMA-USD,LINK-USD,0.27053058118410167,6.0
18,UMA-USD,DOGE-USD,21.533080232100954,6.0
19,UMA-USD,EOS-USD,1.7469084974734772,6.0
20,UMA-USD,MATIC-USD,1.9387770648782907,11.0
21,UMA-USD,BCH-USD,0.015206072851061547,16.0
22,UMA-USD,XLM-USD,20.929549907961455,7.0
23,1INCH-USD,CELO-USD,0.7863559985942109,12.0
24,1INCH-USD,LINK-USD,0.06932484146374021,7.0
25,1INCH-USD,DOGE-USD,5.518215710996087,4.0
26,1INCH-USD,EOS-USD,0.44762158851130274,10.0
27,1INCH-USD,ZRX-USD,2.4888889671591703,17.0
28,1INCH-USD,BCH-USD,0.0038974674382757416,13.0
29,1INCH-USD,XLM-USD,5.363101723760239,11.0
30,ADA-USD,SNX-USD,0.17277226263149392,10.0
31,ADA-USD,FIL-USD,0.08330257154817933,14.0
32,ENJ-USD,CRV-USD,0.4509553568014441,21.0
33,ENJ-USD,FIL-USD,0.07854527871296808,7.0
34,ENJ-USD,XTZ-USD,0.33813724713961774,20.0
35,SNX-USD,SUSHI-USD,1.5945792530414231,8.0
36,SNX-USD,FIL-USD,0.4819292283142078,5.0
37,SNX-USD,ZRX-USD,10.05465376863062,10.0
38,SNX-USD,LTC-USD,0.021451016808061205,17.0
39,SUSHI-USD,FIL-USD,0.302039676190391,13.0
40,SUSHI-USD,XMR-USD,0.006649100933154382,23.0
41,FIL-USD,XTZ-USD,4.303531832873133,11.0
42,FIL-USD,MATIC-USD,4.16208983283616,22.0
43,CELO-USD,ATOM-USD,0.04924958253806981,9.0
44,CELO-USD,XTZ-USD,0.652914515317065,10.0
45,CELO-USD,LINK-USD,0.08810996033957819,17.0
46,CELO-USD,DOT-USD,0.10932231455707894,7.0
47,CELO-USD,DOGE-USD,7.013756641562078,14.0
48,CELO-USD,EOS-USD,0.5689083067442968,23.0
49,CELO-USD,ZRX-USD,3.164760095306012,7.0
50,CELO-USD,UNI-USD,0.09329304711141873,8.0
51,CELO-USD,XMR-USD,0.0033376722067100387,20.0
52,CELO-USD,MATIC-USD,0.6316918020535636,6.0
53,CELO-USD,BCH-USD,0.004954768813279775,10.0
54,CELO-USD,RUNE-USD,0.3716375844945671,7.0
55,XTZ-USD,ZRX-USD,4.846623441697921,5.0
56,XTZ-USD,MATIC-USD,0.9672529830652727,16.0
57,XTZ-USD,RUNE-USD,0.5691058293077521,13.0
58,LINK-USD,DOGE-USD,79.5946851746791,5.0
59,LINK-USD,EOS-USD,6.456918657558952,6.0
60,LINK-USD,MATIC-USD,7.1664770323801505,19.0
61,LINK-USD,XLM-USD,77.36027772117683,6.0
62,YFI-USD,DOT-USD,1180.9554971541895,4.0
63,YFI-USD,DOGE-USD,75747.28410579942,24.0
64,YFI-USD,ZRX-USD,34186.1641850559,4.0
65,YFI-USD,UNI-USD,1007.5427283504686,14.0
66,YFI-USD,BCH-USD,53.51764838865627,12.0
67,YFI-USD,RUNE-USD,4014.3639914597857,5.0
68,DOT-USD,DOGE-USD,64.1370448087364,19.0
69,DOT-USD,ZRX-USD,28.944182620055237,5.0
70,DOT-USD,UNI-USD,0.8531427523804067,15.0
71,DOT-USD,RUNE-USD,3.3988114771721176,6.0
72,DOGE-USD,EOS-USD,0.08111575857190961,4.0
73,DOGE-USD,ZRX-USD,0.4509642383703287,17.0
74,DOGE-USD,UNI-USD,0.01329700171468081,7.0
75,DOGE-USD,MATIC-USD,0.09003372358927998,10.0
76,DOGE-USD,BCH-USD,0.0007061620677711528,13.0
77,DOGE-USD,RUNE-USD,0.05296007888186652,17.0
78,EOS-USD,UNI-USD,0.16389975083904051,13.0
79,EOS-USD,MATIC-USD,1.109724994008592,18.0
80,EOS-USD,XLM-USD,11.97959468247991,9.0
81,ZRX-USD,MATIC-USD,0.19956161473133166,7.0
82,ZRX-USD,BCH-USD,0.0015653672148018558,10.0
83,ZRX-USD,RUNE-USD,0.11741512024490416,4.0
84,UNI-USD,MATIC-USD,6.7700429200530685,8.0
85,UNI-USD,BCH-USD,0.05310155474004222,13.0
86,MATIC-USD,BCH-USD,0.00784335756468968,9.0
87,MATIC-USD,RUNE-USD,0.588264549525211,8.0
88,BCH-USD,RUNE-USD,74.98031373478015,8.0
